Report generated on: 04-19-2021 22:48:19
"API","","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
"","World","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"INTL.2-12-WORL-BKWH.A","    Generation (billion kWh)","11303.67618698667","11543.277625204","11624.302522209","11897.12703917","12173.591208666","12607.97043272","12990.614801436","13316.971846698","13669.997361844","14010.343963195","14656.992436748","14909.207522383134","15424.231863725","15960.627506126333","16727.871054375166","17375.325063476","18069.43468598","18923.560336037","19208.242461469","19146.929239295","20459.479142259","21179.590855506","21632.034920827","22333.305266964","22736.83794198","23170.59545745","23828.18136061","24451.73526175"
"INTL.27-12-WORL-BKWH.A","        Nuclear (billion kWh)","1908.80708800967","1996.140087","2015.603063","2081.627286","2125.160044","2210.044518","2291.532296","2271.307203","2316.009104","2393.132124","2449.88949","2516.88629","2545.623087","2517.747695","2618.889457","2624.976965","2659.758916","2608.0458812","2597.338555","2560.01926","2629.70970056","2517.744977","2344.806699","2364.165143","2408.924982","2440.497877","2468.765498","2484.453995"
"INTL.28-12-WORL-BKWH.A","        Fossil fuels (billion kWh)","7136.259289","7238.183244","7281.339782","7359.41937","7560.902524","7787.476814","8047.729603","8326.58406","8616.803846","8824.30299","9339.8566805","9566.136949199134","9986.3024825","10510.757821333333","10966.98992819","11449.18510072","11964.34960514","12769.79099565","12858.73148278","12685.30737697","13620.68641061","14240.35088039","14549.01935866","14897.83399678","15024.71370588","15205.63543395","15430.9151962","15694.48732914"
"INTL.29-12-WORL-BKWH.A","        Renewables (billion kWh)","2278.549550977","2328.021729204","2345.291259209","2476.02795517","2506.989465666","2632.01923172","2674.573980436","2744.994488698","2762.156691844","2819.200748195","2894.753126248","2855.609728184","2924.405222225","2961.949054793","3170.963879185167","3330.430785736","3473.41900684","3574.119811187","3777.818485689","3924.969947325","4237.263163089","4450.091514126","4765.894359167","5099.305160184","5333.2388021","5553.5096345","5965.97879341","6312.81748561"
"INTL.33-12-WORL-BKWH.A","            Hydroelectricity (billion kWh)","2144.497181","2183.127246","2188.171118","2313.527407","2336.503716","2453.207082","2489.661112","2545.82067","2551.094449","2592.417802","2623.042039","2568.150614","2606.112109","2617.113124","2787.6537448011672","2907.03076129","3008.24317174","3050.35950202","3173.76042316","3230.79827122","3405.34871942","3465.81317351","3626.6633334","3757.21135081","3828.17495593","3842.5372739","3989.76209413","4018.99163968"
"INTL.34-12-WORL-BKWH.A","            Non-hydroelectric renewables (billion kWh)","134.052369977","144.894483204","157.120141209","162.50054817","170.485749666","178.81214972","184.912868436","199.173818698","211.062242844","226.782946195","271.711087248","287.459114184","318.293113225","344.835930793","383.310134384","423.400024446","465.1758351","523.760309167","604.058062529","694.171676105","831.914443669","984.278340616","1139.231025767","1342.093809374","1505.06384617","1710.9723606","1976.21669928","2293.82584593"
"INTL.35-12-WORL-BKWH.A","                Geothermal (billion kWh)","35.820271","37.061444","38.196962","39.172565","39.026453","38.252258","40.689684","42.127102","44.705918","47.883013","51.563158","51.164601","51.95431","53.665231","55.84917455","56.59094521","57.997429","60.63261302","63.26897656","65.31965802","64.56421314","65.472068","65.96352562","67.22617411","71.73144102","75.71677501","77.26700702","79.67997424"
"INTL.36-12-WORL-BKWH.A","                Solar, tide, wave, fuel cell (billion kWh)","1.039567977","1.146135204","1.125222209","1.18643917","1.239998666","1.29250772","1.337610436","1.411627698","1.511953844","1.602391195","22.904521248","23.341749154","23.740782165","27.0860513","30.160933001","34.493407073","32.889798787","33.929008224","36.283870289","46.428852585","61.455691359","94.457594386","132.055854557","176.292485284","231.08840263","289.92492893","371.75407677","489.21383962"
"INTL.117-12-WORL-BKWH.A","                    Tide and wave (billion kWh)","0.601","0.614","0.608","0.586","0.592","0.598","0.577","0.6","0.62","0.61","21.701","21.842","21.865","24.746","27.173","30.333","27.205","26.253","23.697","25.497","27.99","28.275","28.264","29.667","29.473","27.021","27.1661","27.776"
"INTL.116-12-WORL-BKWH.A","                    Solar (billion kWh)","0.438567977","0.532135204","0.517222209","0.60043917","0.647998666","0.69450772","0.760610436","0.811627698","0.891953844","0.992391195","1.203521248","1.499749154","1.875782165","2.3400513","2.987933001","4.160407073","5.684798787","7.676008224","12.586870289","20.931852585","33.465691359","66.182594386","103.791854557","146.625485284","201.61540263","262.90392893","344.58797677","461.43783962"
"INTL.37-12-WORL-BKWH.A","                Wind (billion kWh)","3.5356","4.096951","4.611373","5.55795","7.284414","7.935523","9.288649","12.134585","16.108642","21.24186","31.364314","38.367365","52.766363","64.306051483","84.136272203","104.020903533","131.829787473","170.565478913","220.29993908","276.05409674","339.52415612","434.40607867","521.27202289","643.65206546","714.05780186","827.66407778","956.16038216","1124.74524524"
"INTL.38-12-WORL-BKWH.A","                Biomass and waste (billion kWh)","93.656931","102.589953","113.186584","116.583594","122.934884","131.331861","133.596925","143.500504","148.735729","156.055682","165.879094","174.58539903","189.83165806","199.77859701","213.16375463","228.29476863","242.45881984","258.63320901","284.2052766","306.36906876","366.37038305","389.94259956","419.9396227","454.92308452","488.18620066","517.66657888","571.03523333","600.18678683"
"INTL.82-12-WORL-BKWH.A","        Hydroelectric pumped storage (billion kWh)","-19.939741","-19.067435","-17.931582","-19.947572","-19.460825","-21.570131","-23.221078","-25.913905","-24.97228","-26.291899","-27.50686","-29.425445","-32.098928","-29.827065","-28.97221","-29.26778798","-28.092842","-28.396352","-25.646062","-23.367345","-28.180132","-28.59651601","-27.685496","-27.999033","-30.039548","-29.047488","-37.478127","-40.023548"
"INTL.2-2-WORL-BKWH.A","    Consumption (billion kWh)","10394.26550457067","10599.363264297","10663.809326268","10870.946409048","11121.127006862","11485.693850599","11816.407203787","12131.303094915","12442.033599614","12706.317888315","13281.116442114","13538.292868040195","13983.39304342","14509.735367396333","15174.080446112786","15777.753160786","16459.446675215","17239.0186222932","17494.735607659","17442.033535375","18703.962670849","19398.535365088","19803.920945527","20459.330965104","20857.854421861","21278.54278497","21876.81528446","22486.341171129"
"","Afghanistan","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"INTL.2-12-AFG-BKWH.A","    Generation (billion kWh)","1.098","0.989","0.685","0.677","0.669","0.608","0.549","0.499","0.46","0.455","0.467","0.592","0.687","0.939","0.894","0.934","0.837","0.946","0.72801","0.9381","0.9363","0.8473","0.912","1.103","1.154","1.178","1.21","1.256"
"INTL.27-12-AFG-BKWH.A","        Nuclear (billion kWh)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.28-12-AFG-BKWH.A","        Fossil fuels (billion kWh)","0.342","0.306","0.212","0.207","0.202","0.196","0.188","0.177","0.16","0.155","0.155","0.094","0.132","0.309","0.329","0.344","0.2","0.198","0.186","0.162","0.185","0.252","0.174","0.218","0.154","0.144","0.15","0.168"
"INTL.29-12-AFG-BKWH.A","        Renewables (billion kWh)","0.756","0.683","0.473","0.47","0.467","0.412","0.361","0.322","0.3","0.3","0.312","0.498","0.555","0.63","0.565","0.59","0.637","0.748","0.54201","0.7761","0.7513","0.5953","0.738","0.885","1","1.034","1.06","1.088"
"INTL.33-12-AFG-BKWH.A","            Hydroelectricity (billion kWh)","0.756","0.683","0.473","0.47","0.467","0.412","0.361","0.322","0.3","0.3","0.312","0.498","0.555","0.63","0.565","0.59","0.637","0.748","0.542","0.776","0.751","0.595","0.71","0.855","0.968","1.001","1.025","1.05"
